matrix_name,num_samples,num_mutations,mut_mod,clone_used,k_persistent,time,total_error,accuracy
55,5,10,1.0,10,0,300,1.4613,0.150939654214
54,5,10,0.8,8,0,300,0.7478,0.144619954062
56,5,10,0.6,6,0,171,0.7479,0.0941207466897
74,5,10,0.4,4,0,63,2.0497,0.215102000644
75,5,10,0.4,4,0,9,2.0062,0.229492159386
56,5,10,1.0,10,0,300,0.2999,0.0462026387029
55,5,10,0.8,8,0,300,1.3991,0.14189926964
57,5,10,0.6,6,0,105,0.9534,0.0911603921914
76,5,10,0.4,4,0,73,2.1714,0.255370816818
77,5,10,0.4,4,0,18,1.3216,0.122235516145
57,5,10,1.0,9,0,300,0.5886,0.0745669967803
56,5,10,0.8,8,0,300,0.4061,0.0572997552592
58,5,10,0.6,6,0,300,0.6767,0.0733402379529
78,5,10,0.4,4,0,26,0.9667,0.120364337814
58,5,10,1.0,10,0,300,0.2134,0.0464137780087
79,5,10,0.4,4,0,78,1.6745,0.174342668522
57,5,10,0.8,8,0,300,0.6562,0.0690708974097
59,5,10,0.6,6,0,300,1.0578,0.108682302512
80,5,10,0.4,4,0,16,1.5045,0.100804129357
59,5,10,1.0,10,0,300,0.4456,0.0573596179485
58,5,10,0.8,8,0,300,0.3684,0.0577474688139
81,5,10,0.4,4,0,31,1.7334,0.162479389996
60,5,10,0.6,6,0,300,1.1275,0.143065559343
82,5,10,0.4,4,0,19,1.462,0.123902873566
60,5,10,1.0,10,0,300,0.5573,0.098788421809
59,5,10,0.8,8,0,300,0.7055,0.0714182380723
61,5,10,0.6,6,0,300,1.2815,0.131191198609
83,5,10,0.4,4,0,27,1.7989,0.159461034654
84,5,10,0.4,4,0,20,1.7365,0.124107841534
62,5,10,0.6,6,0,103,0.9813,0.0841892415603
61,5,10,1.0,10,0,300,0.9259,0.127971599256
60,5,10,0.8,8,0,300,0.647,0.101958508992
85,5,10,0.4,4,0,20,1.0291,0.0992557997346
86,5,10,0.4,4,0,19,1.4556,0.211515130307
63,5,10,0.6,6,0,300,0.9777,0.0927246571692
62,5,10,1.0,10,0,300,0.566,0.101376423839
61,5,10,0.8,8,0,300,0.9517,0.119265986482
87,5,10,0.4,4,0,31,1.8914,0.187389663438
64,5,10,0.6,6,0,252,1.3652,0.126367570742
88,5,10,0.4,4,0,24,1.6991,0.135792006133
63,5,10,1.0,10,0,300,0.5934,0.0765500440371
62,5,10,0.8,8,0,300,0.6936,0.0736704171767
89,5,10,0.4,4,0,52,2.2591,0.190743437294
65,5,10,0.6,6,0,251,0.7616,0.114411330443
90,5,10,0.4,4,0,15,2.0007,0.218100818836
64,5,10,1.0,10,0,300,0.9749,0.119933017525
63,5,10,0.8,8,0,300,0.7343,0.0941360023652
91,5,10,0.4,4,0,14,1.9801,0.15817821517
