name,Phylogeny model,k,Accuracy
61,Persistent,1.0,4.92402076989e-17
62,Persistent,1.0,1.27927456344e-15
63,Persistent,1.0,9.02398659856e-17
64,Persistent,1.0,1.21163033572e-16
65,Persistent,1.0,1.96223622047e-15
66,Persistent,1.0,0.0
67,Persistent,1.0,1.27631836479e-15
68,Persistent,1.0,1.33120652446e-15
69,Persistent,1.0,0.0
70,Persistent,1.0,4.76822932929e-16
71,Persistent,1.0,5.11651108043e-16
72,Persistent,1.0,5.02554471943e-17
73,Persistent,1.0,1.23383782225e-15
74,Persistent,1.0,4.17486366028e-17
75,Persistent,1.0,4.97200529853e-17
76,Persistent,1.0,2.40625581983e-16
77,Persistent,1.0,4.84559142796e-17
78,Persistent,1.0,2.80920129796e-16
79,Persistent,1.0,1.33647290343e-15
80,Persistent,1.0,3.71844157271e-17
81,Persistent,1.0,1.05711883997e-16
82,Persistent,1.0,6.2484650437e-17
83,Persistent,1.0,1.0536452478e-15
84,Persistent,1.0,1.18463247027e-16
85,Persistent,1.0,4.42349587735e-17
86,Persistent,1.0,1.33828561033e-16
87,Persistent,1.0,2.73611823756e-15
88,Persistent,1.0,5.91408303039e-16
89,Persistent,1.0,1.40365876072e-16
90,Persistent,1.0,5.78030771638e-17
91,Persistent,1.0,3.08984096534e-17
92,Persistent,1.0,7.03030415153e-18
93,Persistent,1.0,6.05901207709e-17
94,Persistent,1.0,9.20209567056e-17
95,Persistent,1.0,3.48217760311e-16
96,Persistent,1.0,8.67765859085e-17
97,Persistent,1.0,3.70770495445e-17
98,Persistent,1.0,1.06865472341e-15
99,Persistent,1.0,4.15330764931e-17
0,Persistent,0.8,5.07637621011e-17
1,Persistent,0.8,4.66616423529e-17
2,Persistent,0.8,9.30046381081e-16
3,Persistent,0.8,4.48104970557e-17
4,Persistent,0.8,2.04132998322e-17
5,Persistent,0.8,2.10768900657e-16
6,Persistent,0.8,9.95712360985e-16
7,Persistent,0.8,6.01252509124e-16
8,Persistent,0.8,1.148546348e-16
9,Persistent,0.8,0.0
10,Persistent,0.8,1.91746198908e-15
11,Persistent,0.8,1.05578305494e-16
12,Persistent,0.8,0.0
13,Persistent,0.8,1.87578175878e-15
14,Persistent,0.8,1.07456190175e-15
15,Persistent,0.8,1.1681094311e-16
16,Persistent,0.8,1.74750182174e-17
17,Persistent,0.8,0.038313287359
18,Persistent,0.8,8.14376162654e-17
19,Persistent,0.8,1.17038545029e-16
20,Persistent,0.8,1.07796492547e-16
21,Persistent,0.8,1.38148107114e-15
22,Persistent,0.8,3.00931687964e-17
23,Persistent,0.8,4.59626647491e-17
24,Persistent,0.8,1.60066007701e-17
25,Persistent,0.8,8.6785264493e-17
26,Persistent,0.8,1.40472224281e-16
27,Persistent,0.8,1.94216631338e-16
28,Persistent,0.8,5.53183189637e-17
29,Persistent,0.8,1.491793786e-16
30,Persistent,0.8,8.90847993409e-16
31,Persistent,0.8,1.0308638666e-16
32,Persistent,0.8,0.034582737597
33,Persistent,0.8,0.0
34,Persistent,0.8,1.49978859022e-15
35,Persistent,0.8,2.668434122e-17
36,Persistent,0.8,9.37173364319e-16
37,Persistent,0.8,6.82389958516e-16
38,Persistent,0.8,5.52270456366e-17
39,Persistent,0.8,6.32147875854e-17
40,Persistent,0.8,9.67003084612e-17
41,Persistent,0.8,1.0900251539e-16
42,Persistent,0.8,1.60151613646e-15
43,Persistent,0.8,8.49092196553e-17
44,Persistent,0.8,0.00180372233246
45,Persistent,0.8,0.0
46,Persistent,0.8,2.15403115773e-16
47,Persistent,0.8,6.2758227542e-17
48,Persistent,0.8,9.3271514066e-17
49,Persistent,0.8,0.0619050168049
50,Persistent,0.8,8.26923333554e-17
51,Persistent,0.8,0.0
52,Persistent,0.8,9.4334940577e-17
53,Persistent,0.8,1.52539731029e-16
54,Persistent,0.8,9.18876194729e-17
55,Persistent,0.8,9.71448983349e-17
56,Persistent,0.8,1.77138715171e-15
57,Persistent,0.8,0.06108711585
58,Persistent,0.8,1.09528487342e-15
59,Persistent,0.8,9.0746053132e-17
60,Persistent,0.8,1.38928444809e-16
61,Persistent,0.8,1.06066653438e-16
62,Persistent,0.8,2.15239849339e-18
63,Persistent,0.8,1.25760723966e-16
64,Persistent,0.8,5.59721095941e-16
65,Persistent,0.8,1.81158975588e-15
66,Persistent,0.8,0.0
67,Persistent,0.8,8.20406923415e-16
68,Persistent,0.8,1.18857725399e-17
69,Persistent,0.8,3.88110676364e-17
70,Persistent,0.8,9.47830897825e-17
71,Persistent,0.8,6.5237473429e-17
72,Persistent,0.8,2.02538955876e-16
73,Persistent,0.8,5.0483528712e-17
74,Persistent,0.8,5.68938015159e-17
75,Persistent,0.8,1.43470570741e-15
76,Persistent,0.8,4.15074450094e-17
77,Persistent,0.8,5.81754823445e-16
78,Persistent,0.8,5.1914425712e-17
79,Persistent,0.8,7.24062149788e-17
80,Persistent,0.8,5.72491531459e-17
81,Persistent,0.8,2.11423767993e-16
82,Persistent,0.8,0.0331416553107
83,Persistent,0.8,0.0
84,Persistent,0.8,5.2594931422e-17
85,Persistent,0.8,4.42349587735e-17
86,Persistent,0.8,3.64917510337e-16
87,Persistent,0.8,1.03464798186e-15
88,Persistent,0.8,2.09882953138e-17
89,Persistent,0.8,9.77573360758e-17
90,Persistent,0.8,1.82250970836e-16
91,Persistent,0.8,4.49157567168e-16
92,Persistent,0.8,1.98847029574e-17
93,Persistent,0.8,6.06196985714e-17
94,Persistent,0.8,7.47230500505e-16
95,Persistent,0.8,2.04438682518e-15
96,Persistent,0.8,0.0
97,Persistent,0.8,1.29769673406e-16
98,Persistent,0.8,7.88852324103e-18
99,Persistent,0.8,0.0
0,Persistent,0.6,5.23260882741e-17
1,Persistent,0.6,8.41204720503e-17
2,Persistent,0.6,3.8751932545e-17
3,Persistent,0.6,0.00498630015656
4,Persistent,0.6,1.04087814181e-16
5,Persistent,0.6,0.00477996306811
6,Persistent,0.6,1.28495753989e-15
7,Persistent,0.6,0.0475794053946
8,Persistent,0.6,3.46980714915e-16
9,Persistent,0.6,8.72980321352e-17
10,Persistent,0.6,2.05002698368e-17
11,Persistent,0.6,0.0185849284049
12,Persistent,0.6,0.0
