matrix_name,num_samples,num_mutations,mut_mod,clone_used,k_persistent,time,total_error,accuracy
52,5,10,0.4,4,2,228,3.3554,0.285771303264
48,5,10,1.0,9,2,300,0.0849,0.0121696210258
53,5,10,0.4,4,2,211,1.5972,0.133203593545
48,5,10,0.8,8,2,300,0.2077,0.0249700271547
48,5,10,0.6,6,2,300,0.495,0.0446204951346
49,5,10,1.0,10,2,300,0.7531,0.0914853029219
54,5,10,0.4,4,2,212,1.6989,0.199419036668
49,5,10,0.8,8,2,300,1.0333,0.10878510069
49,5,10,0.6,6,2,300,1.2591,0.11726840915
50,5,10,1.0,10,2,300,0.4517,0.0729931617316
55,5,10,0.4,4,2,240,2.3889,0.183268819829
50,5,10,0.8,8,2,300,0.5722,0.0824544718854
50,5,10,0.6,6,2,300,0.8733,0.103459448912
56,5,10,0.4,4,2,74,1.497,0.141345283122
51,5,10,1.0,10,2,300,0.5691,0.116939741778
57,5,10,0.4,4,2,17,1.6539,0.133592771718
51,5,10,0.8,8,2,300,0.7516,0.112524482414
51,5,10,0.6,6,2,300,1.0235,0.132296087104
52,5,10,1.0,10,2,300,2.2665,0.230369845053
58,5,10,0.4,4,2,86,1.1239,0.103027322667
52,5,10,0.8,8,2,300,2.4622,0.232975411204
52,5,10,0.6,6,2,300,2.7484,0.268432582189
59,5,10,0.4,4,2,68,1.6877,0.144028594079
53,5,10,1.0,10,2,300,0.511,0.0776997120041
53,5,10,0.8,8,2,300,0.6342,0.084060605207
53,5,10,0.6,6,2,300,0.999,0.103623467509
60,5,10,0.4,4,2,276,1.6108,0.184210522266
54,5,10,1.0,10,2,300,0.6165,0.146561654005
61,5,10,0.4,4,2,151,1.7871,0.159428219226
54,5,10,0.8,8,2,300,0.8425,0.131847054637
54,5,10,0.6,6,2,300,1.1151,0.154163048223
62,5,10,0.4,4,2,45,1.7726,0.169008676133
55,5,10,1.0,10,2,300,1.3862,0.147862331641
63,5,10,0.4,4,2,28,1.5774,0.123604294683
55,5,10,0.8,8,2,300,1.5091,0.151668483465
55,5,10,0.6,6,2,300,1.8083,0.158787607095
56,5,10,1.0,10,2,300,0.3038,0.0462405896033
57,5,10,1.0,10,2,300,0.5886,0.0745669967803
64,5,10,0.4,4,2,275,2.07,0.16596254427
56,5,10,0.8,8,2,300,0.4231,0.0678184320222
56,5,10,0.6,6,2,300,0.7479,0.0941207466897
65,5,10,0.4,4,2,87,1.3767,0.161927730783
58,5,10,1.0,10,2,300,0.1085,0.0243050337832
57,5,10,0.8,8,2,300,0.6562,0.0690708974097
57,5,10,0.6,6,2,300,0.9534,0.091864242836
66,5,10,0.4,4,2,288,2.2668,0.192169122915
59,5,10,1.0,10,2,300,0.4968,0.0644986728038
58,5,10,0.8,8,2,300,0.3613,0.0572256390227
58,5,10,0.6,6,2,300,0.6829,0.0760031496372
67,5,10,0.4,4,2,30,1.1853,0.113718182006
60,5,10,1.0,10,2,300,0.6046,0.101146225865
68,5,10,0.4,4,2,186,1.5219,0.146299585754
59,5,10,0.8,8,2,300,0.7055,0.070862197891
59,5,10,0.6,6,2,300,1.0578,0.110681068884
69,5,10,0.4,4,2,165,2.2851,0.292425815859
61,5,10,1.0,10,2,300,0.9674,0.143272286502
60,5,10,0.8,8,2,300,0.7927,0.121595809213
60,5,10,0.6,6,2,300,1.1254,0.152231724919
70,5,10,0.4,4,2,193,1.4315,0.156102577842
62,5,10,1.0,10,2,300,0.6202,0.102612813383
61,5,10,0.8,8,2,300,1.0041,0.122517126573
61,5,10,0.6,6,2,300,1.2815,0.132877718946
71,5,10,0.4,4,2,88,1.2754,0.125927423754
72,5,10,0.4,4,2,95,1.6906,0.145350813589
63,5,10,1.0,10,2,300,0.3838,0.0569088509987
62,5,10,0.8,8,2,300,0.6936,0.0742545593132
62,5,10,0.6,6,2,292,0.9813,0.0841892415603
73,5,10,0.4,4,2,183,2.0624,0.21295098423
64,5,10,1.0,9,2,300,0.9749,0.119933017525
63,5,10,0.6,6,2,249,0.9777,0.0937073118529
63,5,10,0.8,8,2,300,0.5768,0.0669890439346
74,5,10,0.4,4,2,171,2.0497,0.215102000644
75,5,10,0.4,4,2,20,2.0062,0.219928366881
65,5,10,1.0,10,2,300,0.3362,0.0846198425936
64,5,10,0.6,6,2,300,1.4071,0.13852392413
64,5,10,0.8,8,2,300,1.049,0.117170025556
76,5,10,0.4,4,2,248,2.1714,0.255370816818
66,5,10,1.0,10,2,300,1.2386,0.131126760542
65,5,10,0.6,6,2,300,0.7616,0.114127827145
65,5,10,0.8,8,2,300,0.4391,0.0880731402441
77,5,10,0.4,4,2,50,1.3216,0.119707367309
78,5,10,0.4,4,2,28,0.9667,0.120364337814
67,5,10,1.0,10,2,300,0.321,0.0501194019696
66,5,10,0.6,6,2,300,1.6763,0.180623004237
66,5,10,0.8,8,2,300,1.4662,0.151682479557
79,5,10,0.4,4,2,300,1.6745,0.177444048945
67,5,10,0.6,6,2,241,0.7663,0.0846859223206
68,5,10,1.0,10,2,300,0.709,0.112022834839
67,5,10,0.8,8,2,300,0.5214,0.0628297314448
80,5,10,0.4,4,2,29,1.5045,0.10551432127
68,5,10,0.6,6,2,300,1.0099,0.106356559668
69,5,10,1.0,10,2,300,1.1432,0.180981055421
68,5,10,0.8,8,2,300,0.8184,0.0949895514714
81,5,10,0.4,4,2,99,1.7334,0.162479389996
82,5,10,0.4,4,2,157,1.462,0.123808762058
69,5,10,0.6,6,2,300,1.4775,0.200057594209
70,5,10,1.0,10,2,300,0.6783,0.116718425539
69,5,10,0.8,8,2,300,1.2379,0.230597048407
83,5,10,0.4,4,2,77,1.7989,0.159461034654
70,5,10,0.6,6,2,300,0.9153,0.128062856341
71,5,10,1.0,10,2,300,0.364,0.0530396032543
84,5,10,0.4,4,2,36,1.7365,0.124107841534
70,5,10,0.8,8,2,300,0.6412,0.106691658839
85,5,10,0.4,4,2,55,1.0291,0.0992557997346
71,5,10,0.6,6,2,300,0.8167,0.099916179944
72,5,10,1.0,10,2,300,0.7838,0.11854222498
71,5,10,0.8,8,2,300,0.4494,0.068891597008
86,5,10,0.4,4,2,73,1.4556,0.211515130307
87,5,10,0.4,4,2,59,1.8914,0.187389663438
72,5,10,0.6,6,2,300,1.0687,0.120487720054
73,5,10,1.0,10,2,300,0.6344,0.0857440307094
72,5,10,0.8,8,2,300,0.7191,0.0999940387361
88,5,10,0.4,4,2,69,1.6991,0.135792006133
73,5,10,0.6,6,2,300,1.3496,0.155425810823
74,5,10,1.0,10,2,300,0.94,0.148769455838
73,5,10,0.8,8,2,300,0.9368,0.127873110077
89,5,10,0.4,4,2,84,2.2591,0.190743437294
90,5,10,0.4,4,2,51,2.0007,0.215082003838
74,5,10,0.6,6,2,300,1.3508,0.177900562458
75,5,10,1.0,10,2,300,0.7654,0.13056392338
74,5,10,0.8,8,2,300,1.1362,0.181046700242
91,5,10,0.4,4,2,126,1.9801,0.15817821517
75,5,10,0.6,6,2,146,1.1929,0.162226936893
92,5,10,0.4,4,2,20,1.8984,0.180818713109
76,5,10,1.0,10,2,300,0.7873,0.11451389303
75,5,10,0.8,8,2,299,0.8497,0.122498725244
93,5,10,0.4,4,2,136,1.5328,0.144145314907
76,5,10,0.6,6,2,300,1.507,0.219549488221
77,5,10,1.0,10,2,300,0.5241,0.0655797176117
76,5,10,0.8,8,2,300,0.9286,0.124833964555
94,5,10,0.4,4,2,39,1.4908,0.142622038563
77,5,10,0.6,6,2,300,0.8848,0.0911850908645
78,5,10,1.0,10,2,300,0.2614,0.0484910381771
95,5,10,0.4,4,2,136,1.7219,0.13679366631
77,5,10,0.8,8,2,300,0.6823,0.0741014823847
78,5,10,0.6,6,2,300,0.6742,0.0974392651721
79,5,10,1.0,10,2,300,0.5015,0.0769407551847
96,5,10,0.4,4,2,300,1.8217,0.170326467831
78,5,10,0.8,8,2,300,0.3951,0.0609662026534
97,5,10,0.4,4,2,64,1.6655,0.17406887841
79,5,10,0.6,6,2,300,1.1751,0.146510921148
80,5,10,1.0,10,2,300,0.2376,0.0307935638602
79,5,10,0.8,8,2,300,0.7474,0.117722620883
98,5,10,0.4,4,2,13,1.5377,0.116633596434
80,5,10,0.6,6,2,255,0.8419,0.0751115346727
99,5,10,0.4,4,2,164,1.8793,0.154190191026
81,5,10,1.0,10,2,300,0.7885,0.106369821763
80,5,10,0.8,8,2,300,0.4848,0.0464600088406
81,5,10,0.6,6,2,300,1.2455,0.143607969942
82,5,10,1.0,10,2,300,0.532,0.0648413775546
81,5,10,0.8,8,2,300,1.0033,0.114000921752
82,5,10,0.6,6,2,134,0.9431,0.0938037248982
83,5,10,1.0,10,2,300,1.0564,0.126754419143
82,5,10,0.8,8,2,300,0.6539,0.0836637641059
83,5,10,0.6,6,2,288,1.2761,0.128578436734
84,5,10,1.0,10,2,300,0.6926,0.0839064150393
83,5,10,0.8,8,2,300,1.1526,0.128294136457
84,5,10,0.6,6,2,300,1.2202,0.10733257397
85,5,10,1.0,10,2,300,0.3237,0.0521859134213
84,5,10,0.8,8,2,300,0.9296,0.0978818706064
85,5,10,0.6,6,2,300,0.6689,0.0789291938039
86,5,10,1.0,10,2,300,0.293,0.0622229295469
85,5,10,0.8,8,2,300,0.4122,0.0521429088141
86,5,10,0.6,6,2,300,0.8322,0.129080931306
87,5,10,1.0,10,2,300,0.4861,0.105030651257
86,5,10,0.8,8,2,300,0.4558,0.0940352632496
87,5,10,0.6,6,2,199,1.1317,0.127652916698
88,5,10,1.0,10,2,300,0.3505,0.0438211223238
88,5,10,0.6,6,2,201,0.8059,0.0740006399393
87,5,10,0.8,8,2,300,0.7586,0.11407562631
89,5,10,1.0,10,2,300,1.2837,0.165090041861
89,5,10,0.6,6,2,300,1.7083,0.17905012404
88,5,10,0.8,8,2,300,0.5035,0.0551128967945
90,5,10,1.0,10,2,300,0.7395,0.108454359536
90,5,10,0.6,6,2,236,1.2177,0.152694240496
89,5,10,0.8,8,2,300,1.1996,0.158571138526
91,5,10,1.0,10,2,300,0.9083,0.106642896409
91,5,10,0.6,6,2,300,1.4637,0.13641232562
90,5,10,0.8,8,2,187,0.7474,0.0998130725046
92,5,10,1.0,10,2,300,0.8148,0.0921386739177
92,5,10,0.6,6,2,300,1.3789,0.117896521076
91,5,10,0.8,8,2,300,1.236,0.130114575323
93,5,10,1.0,10,2,300,0.8117,0.118067617874
93,5,10,0.6,6,2,300,1.0899,0.115602626366
92,5,10,0.8,8,2,300,1.0143,0.112992090245
94,5,10,1.0,10,2,300,0.5179,0.132561662991
94,5,10,0.6,6,2,206,0.8653,0.119279402943
93,5,10,0.8,8,2,300,0.9319,0.12338057501
95,5,10,1.0,10,2,300,0.8358,0.111728614313
95,5,10,0.6,6,2,300,1.1921,0.119942484983
94,5,10,0.8,8,2,300,0.621,0.104349379689
96,5,10,1.0,10,2,300,0.8566,0.102176769141
96,5,10,0.6,6,2,300,1.226,0.123690859497
95,5,10,0.8,8,2,300,0.8784,0.0974362067233
97,5,10,1.0,10,2,300,0.6882,0.113931214535
97,5,10,0.6,6,2,300,1.017,0.14355979086
96,5,10,0.8,8,2,300,0.8446,0.103004344464
98,5,10,1.0,10,2,300,0.6489,0.066361738546
98,5,10,0.6,6,2,246,1.1083,0.086888313213
97,5,10,0.8,8,2,300,0.5861,0.112158988086
99,5,10,1.0,10,2,300,1.1588,0.153968384832
99,5,10,0.6,6,2,300,1.3294,0.128259975333
98,5,10,0.8,8,2,300,0.7553,0.0652294483812
99,5,10,0.8,8,2,300,1.2124,0.154331919849
